date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,21.0,22.0,47005.91,11.370000000000001,10718.0,1134.7,38863.0
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088.0,0.0,20.0,24.0,47105.16,4.47,9243.0,1120.73,44155.0
2021-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,25.0,23.0,46592.05,19.21,12034.0,1361.08,42752.0
2021-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,17.0,19.0,46951.9,0.64,4847.0,871.8,21719.0
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,47046.71,0.0,7778.0,1032.48,40433.0
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,47222.11,20.59,11351.0,853.86,25462.0
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,19200.0,22.0,21.0,47574.91,47.32,12791.0,1342.29,38058.0
2021-05-17,87.0,110.0,146.0,93.0,31.0,31.0,71.0,23.0,11.0,27.0,51.0,21.0,22.0,23.0,21.0,0.0,16.0,456.0,117600.0,27.0,26.0,47631.18,24.88,13763.0,616.66,36939.0
2021-05-24,820.0,304.0,551.0,484.0,157.0,272.0,371.0,110.0,138.0,115.0,137.0,92.0,110.0,84.0,79.0,49.0,52.0,216.0,364800.0,28.0,26.0,47736.89,31.68,11150.0,978.61,39693.0
2021-05-31,749.0,397.0,581.0,441.0,278.0,287.0,350.0,195.0,122.0,89.0,178.0,129.0,85.0,110.0,111.0,88.0,48.0,648.0,470400.0,22.0,23.0,47684.64,16.68,10904.0,934.73,42435.0
2021-06-07,1347.0,891.0,546.0,668.0,334.0,429.0,430.0,295.0,297.0,190.0,256.0,246.0,196.0,178.0,63.0,152.0,58.0,264.0,448800.0,22.0,22.0,48357.38,23.67,10900.0,762.4,29139.0
