Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
17.07.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
18.07.2023;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
18.07.2023;NS;13:30:00;SP4;SP;14:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
19.07.2023;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
20.07.2023;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
21.07.2023;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
22.07.2023;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
24.07.2023;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.07.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.07.2023;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.07.2023;NS;07:40:00;SP4;SP;08:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.07.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
