date,10,20,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2021-09-27,1137.0,693.0,52.0,0.0,364800.0,18.0,17.0,48722.89,9.42,12571.0,1101.44,38844.0
2021-10-04,912.0,497.0,46.0,120.0,367200.0,19.0,18.0,48139.23,69.25,14045.0,1377.14,34282.0
2021-10-11,1328.0,750.0,50.0,576.0,429600.0,25.0,25.0,47875.06,4.62,9581.0,904.51,29907.0
2021-10-18,1965.0,1054.0,44.0,1152.0,470400.0,28.0,26.0,47909.52,24.150000000000002,13806.0,1222.47,46010.0
2021-10-25,1710.0,926.0,42.0,1296.0,448800.0,23.0,21.0,47636.78,56.31,12331.0,1477.72,39470.0
2021-11-01,1182.0,675.0,41.0,744.0,350400.0,21.0,19.0,47866.03,30.32,10909.0,1331.51,33014.0
2021-11-08,667.0,430.0,39.0,336.0,204000.0,17.0,17.0,47280.07,17.18,12946.0,1184.03,39779.0
2021-11-15,463.0,260.0,38.0,0.0,124800.0,12.0,12.0,47301.06,5.29,15698.0,921.1,28675.0
2021-11-22,391.0,267.0,33.0,24.0,93600.0,15.0,15.0,47288.79,8.05,12640.0,1230.0,39276.0
2021-11-29,306.0,183.0,38.0,0.0,72000.0,12.0,13.0,46847.72,18.64,14247.0,989.54,37973.0
2021-12-06,339.0,180.0,34.0,0.0,54000.0,13.0,12.0,46549.61,25.78,15027.0,1491.55,34504.0
2021-12-13,329.0,187.0,29.0,0.0,66000.0,12.0,13.0,46575.3,7.7,14324.0,1142.1,32057.0
2021-12-20,427.0,236.0,37.0,0.0,37200.0,15.0,14.0,47151.83,0.51,12863.0,879.0,43275.0
2021-12-27,559.0,302.0,31.0,1920.0,84000.0,14.0,14.0,45808.63,13.8,11119.0,1014.71,27253.0
2022-01-03,825.0,533.0,37.0,2280.0,327600.0,20.0,19.0,47414.65,49.1,14353.0,1353.58,36502.0
2022-01-10,418.0,254.0,26.0,960.0,84000.0,20.0,20.0,46515.83,22.35,12024.0,1256.58,41244.0
