Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
15.07.2023;NS;20:10:00;SP2;SP;20:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
16.07.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
16.07.2023;NS;14:45:00;SP2;SP;15:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
17.07.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
17.07.2023;NS;20:45:00;SP2;SP;21:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
18.07.2023;NS;10:15:00;SP2;SP;10:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
19.07.2023;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
19.07.2023;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
20.07.2023;NS;11:45:00;SP2;SP;13:15:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
20.07.2023;NS;16:45:00;SP2;SP;17:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
21.07.2023;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
21.07.2023;NS;17:15:00;SP2;SP;17:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
22.07.2023;NS;12:40:00;SP2;SP;13:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
22.07.2023;NS;18:00:00;SP2;SP;18:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
23.07.2023;NS;13:15:00;SP2;SP;14:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
23.07.2023;NS;18:30:00;SP2;SP;19:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
24.07.2023;NS;13:40:00;SP2;SP;14:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
25.07.2023;NS;13:15:00;SP2;SP;14:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
25.07.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
26.07.2023;NS;08:10:00;SP2;SP;08:50:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.07.2023;NS;14:45:00;SP2;SP;15:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.07.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.07.2023;NS;08:45:00;SP2;SP;09:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
